time,open,high,low,close,volume,complete,sma_short,sma_long,signal
2020-08-19,106.123,106.218,105.745,105.804,92679,True,106.24544444444444,106.13538461538461,1
2020-08-20,105.796,106.073,105.442,105.808,79431,True,106.22855555555556,106.07900000000001,1
2020-08-23,105.776,105.999,105.69,105.974,59566,True,106.17099999999999,106.0381153846154,1
2020-08-24,105.98,106.578,105.873,106.389,69838,True,106.11488888888888,106.00415384615384,1
2020-08-25,106.382,106.556,105.957,105.99,68775,True,106.01044444444445,105.97288461538461,1
2020-08-26,106.018,106.702,105.604,106.56,112330,True,106.00655555555555,105.94988461538462,1
2020-08-27,106.564,106.948,105.203,105.368,126174,True,105.93566666666668,105.89226923076923,1
2020-08-30,105.448,106.097,105.294,105.908,92231,True,105.991,105.88334615384616,1
2020-08-31,105.923,106.154,105.592,105.958,94184,True,105.97322222222222,105.90561538461537,1
2020-09-01,105.969,106.303,105.851,106.182,75715,True,106.01522222222223,105.9473846153846,1
2020-09-02,106.186,106.552,106.004,106.195,82228,True,106.05822222222221,105.99642307692308,1
2020-09-03,106.188,106.504,106.057,106.241,72276,True,106.08788888888888,106.05461538461539,1
2020-09-06,106.26,106.386,106.133,106.272,41251,True,106.07488888888889,106.06907692307692,1
2020-09-07,106.28,106.382,105.862,106.032,70368,True,106.07955555555556,106.07215384615385,1
2020-09-08,106.026,106.274,105.79,106.18,71322,True,106.03733333333334,106.08992307692307,-1
2020-09-09,106.211,106.303,105.984,106.134,67614,True,106.12244444444444,106.11061538461537,1
2020-09-10,106.13,106.266,106.058,106.168,54244,True,106.15133333333333,106.13438461538462,1
2020-09-13,106.131,106.166,105.546,105.732,51587,True,106.12622222222222,106.12692307692308,-1
2020-09-14,105.727,105.815,105.299,105.447,60372,True,106.04455555555555,106.10719230769232,-1
2020-09-15,105.452,105.452,104.804,104.953,79208,True,105.90655555555557,106.048,-1
2020-09-16,104.964,105.175,104.526,104.744,78216,True,105.74022222222223,105.9653076923077,-1
2020-09-17,104.754,104.871,104.274,104.572,60357,True,105.55133333333333,105.87461538461538,-1
2020-09-20,104.567,104.909,104.001,104.644,79400,True,105.3971111111111,105.79957692307693,-1
2020-09-21,104.656,105.078,104.406,104.934,67686,True,105.25866666666667,105.75834615384613,-1
2020-09-22,104.926,105.496,104.878,105.395,74434,True,105.17655555555557,105.75776923076923,-1
2020-09-23,105.401,105.532,105.206,105.408,75222,True,105.09211111111112,105.73046153846154,-1
2020-09-24,105.402,105.7,105.24,105.584,63878,True,105.07566666666668,105.722,-1
2020-09-27,105.514,105.698,105.264,105.517,60955,True,105.08344444444445,105.71080769230768,-1
2020-09-28,105.512,105.736,105.343,105.666,70566,True,105.16266666666667,105.69896153846153,-1
2020-09-29,105.655,105.806,105.403,105.548,85392,True,105.25200000000001,105.6666153846154,-1
2020-09-30,105.543,105.73,105.404,105.529,81043,True,105.35833333333333,105.64888461538462,-1
