sma_time,open,high,low,close,sma_short,sma_long,signal
2026-03-31 20:00:00,158.712,158.764,158.658,158.724,158.9837777777778,159.44842307692306,-1
2026-03-31 21:00:00,158.772,158.875,158.677,158.74,158.9138888888889,159.41173076923076,-1
2026-03-31 22:00:00,158.746,158.826,158.714,158.734,158.87444444444444,159.37296153846154,-1
2026-03-31 23:00:00,158.735,158.784,158.563,158.588,158.81766666666667,159.3278846153846,-1
2026-04-01 00:00:00,158.589,158.844,158.453,158.788,158.78499999999997,159.2888076923077,-1
2026-04-01 01:00:00,158.788,159.014,158.735,158.758,158.76344444444442,159.24696153846156,-1
2026-04-01 02:00:00,158.756,158.788,158.662,158.724,158.7386666666667,159.20242307692308,-1
2026-04-01 03:00:00,158.728,158.864,158.584,158.862,158.7368888888889,159.1681923076923,-1
2026-04-01 04:00:00,158.864,158.937,158.782,158.786,158.74488888888888,159.1366923076923,-1
2026-04-01 05:00:00,158.786,158.92,158.618,158.676,158.73955555555554,159.09626923076922,-1
2026-04-01 06:00:00,158.675,158.689,158.29,158.31,158.69177777777776,159.04576923076922,-1
2026-04-01 07:00:00,158.31,158.792,158.274,158.78,158.69688888888888,159.01376923076924,-1
2026-04-01 08:00:00,158.781,158.874,158.424,158.582,158.69622222222222,158.9696153846154,-1
2026-04-01 09:00:00,158.584,158.773,158.486,158.712,158.6877777777778,158.9336923076923,-1
2026-04-01 10:00:00,158.711,158.734,158.517,158.522,158.66155555555554,158.89315384615384,-1
2026-04-01 11:00:00,158.52,158.551,158.348,158.35,158.62,158.8431153846154,-1
2026-04-01 12:00:00,158.35,158.586,158.318,158.532,158.58333333333334,158.79684615384616,-1
2026-04-01 13:00:00,158.532,158.675,158.457,158.649,158.56811111111108,158.7671923076923,-1
2026-04-01 14:00:00,158.654,158.768,158.464,158.487,158.54711111111112,158.73326923076922,-1
2026-04-01 15:00:00,158.484,158.698,158.41,158.632,158.5828888888889,158.7156923076923,-1
2026-04-01 16:00:00,158.633,158.732,158.546,158.556,158.558,158.69480769230768,-1
2026-04-01 17:00:00,158.554,158.723,158.45,158.71,158.57222222222222,158.6805,-1
2026-04-01 18:00:00,158.709,158.864,158.691,158.852,158.58777777777777,158.67665384615384,-1
2026-04-01 19:00:00,158.852,158.948,158.842,158.896,158.62933333333334,158.6746923076923,-1
2026-04-01 20:00:00,158.896,158.908,158.752,158.79,158.6782222222222,158.6713076923077,1
2026-04-01 21:00:00,158.808,158.827,158.616,158.71,158.69799999999998,158.67115384615383,1
2026-04-01 22:00:00,158.709,158.74,158.585,158.61,158.69366666666667,158.66676923076923,1
2026-04-01 23:00:00,158.609,158.718,158.545,158.716,158.71911111111112,158.66584615384616,1
2026-04-02 00:00:00,158.716,158.766,158.582,158.671,158.72344444444445,158.66342307692307,1
2026-04-02 01:00:00,158.672,159.289,158.608,159.286,158.80455555555557,158.69026923076925,1
2026-04-02 02:00:00,159.286,159.476,159.176,159.423,158.88377777777777,158.71469230769233,1
